Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Boston College,12,998,2054,750,3052,4.07,254.3
2,Wisconsin,13,1240,2251,791,3491,4.41,268.5
3,Alabama,15,1136,3009,963,4145,4.3,276.3
4,Michigan,13,1589,2060,818,3649,4.46,280.7
5,San Diego State,14,1522,2500,863,4022,4.66,287.3
6,Missouri,12,1593,2031,838,3624,4.32,302
7,Georgia,13,1943,2034,835,3977,4.76,305.9
8,Florida,14,1793,2550,933,4343,4.65,310.2
9,Ohio State,13,1649,2398,899,4047,4.5,311.3
10,Clemson,15,1879,2816,968,4695,4.85,313
11,Appalachian State,13,1710,2378,871,4088,4.69,314.5
12,Boise State,13,1407,2731,851,4138,4.86,318.3
13,Northwestern,13,1640,2506,915,4146,4.53,318.9
14,Penn State,13,1963,2255,883,4218,4.78,324.5
15,Akron,13,1208,3097,888,4305,4.85,331.2
16,Central Michigan,13,1810,2509,841,4319,5.14,332.2
17,Utah State,13,1975,2347,891,4322,4.85,332.5
18,Louisville,13,1563,2763,898,4326,4.82,332.8
19,Florida State,13,1889,2491,936,4380,4.68,336.9
20,Temple,14,1790,2928,937,4718,5.04,337
21,Georgia Southern,13,1702,2693,803,4395,5.47,338.1
22,Iowa,14,1700,3074,962,4774,4.96,341
23,BYU,13,1870,2624,918,4494,4.9,345.7
24,Minnesota,13,2163,2334,917,4497,4.9,345.9
25,LSU,12,1475,2691,806,4166,5.17,347.2
26,Michigan State,14,1624,3274,895,4898,5.47,349.9
27,Kent State,12,1727,2474,864,4201,4.86,350.1
28,Vanderbilt,12,1718,2488,814,4206,5.17,350.5
29,North Carolina State,13,1917,2642,828,4559,5.51,350.7
30,Illinois,12,1997,2213,860,4210,4.9,350.8
31,Washington,13,1629,2945,933,4574,4.9,351.8
32,Air Force,14,2026,2942,870,4968,5.71,354.9
33,Connecticut,13,2155,2461,887,4616,5.2,355.1
34,San Jose State,13,2610,2051,832,4661,5.6,358.5
35,Marshall,13,2185,2495,997,4680,4.69,360
36,Tennessee,13,1971,2735,904,4706,5.21,362
37,Pittsburgh,13,1930,2791,829,4721,5.69,363.2
38,Wake Forest,12,1935,2430,784,4365,5.57,363.8
39,Oklahoma,13,2102,2636,989,4738,4.79,364.5
40,Navy,13,1859,2885,839,4744,5.65,364.9
41,Utah,13,1412,3356,921,4768,5.18,366.8
42,Georgia Tech,12,1981,2435,759,4416,5.82,368
43,Stanford,14,1958,3198,926,5156,5.57,368.3
44,Virginia Tech,13,2349,2459,867,4808,5.55,369.8
45,Notre Dame,13,2286,2559,870,4845,5.57,372.7
46,Toledo,12,1370,3132,888,4502,5.07,375.2
47,Army,12,1982,2525,742,4507,6.07,375.6
48,Louisiana Tech,13,1551,3335,924,4886,5.29,375.8
49,Ohio,13,2187,2723,861,4910,5.7,377.7
50,Southern Mississippi,14,2126,3187,998,5313,5.32,379.5
51,Texas A&M,13,2778,2162,912,4940,5.42,380
52,South Florida,13,1838,3108,944,4946,5.24,380.5
53,Houston,14,1524,3846,980,5370,5.48,383.6
54,Mississippi,13,1652,3364,1030,5016,4.87,385.8
55,Colorado State,13,2773,2309,877,5082,5.79,390.9
56,Mississippi State,13,2270,2815,955,5085,5.32,391.2
57,Troy,12,2295,2400,895,4695,5.25,391.3
58,Arkansas,13,1514,3577,839,5091,6.07,391.6
59,Kentucky,12,2353,2377,853,4730,5.55,394.2
60,Duke,13,1999,3132,956,5131,5.37,394.7
61,Baylor,13,2120,3035,994,5155,5.19,396.5
61,West Virginia,13,2063,3091,969,5154,5.32,396.5
63,TCU,13,2374,2805,1004,5179,5.16,398.4
64,Nebraska,13,1428,3777,885,5205,5.88,400.4
65,USC,14,2090,3521,984,5611,5.7,400.8
66,East Carolina,12,2094,2717,894,4811,5.38,400.9
67,UCLA,13,2580,2642,1044,5222,5,401.7
68,Miami (Ohio),12,2027,2828,863,4855,5.63,404.6
69,Miami (Florida),13,2613,2650,911,5263,5.78,404.8
70,Florida Atlantic,12,2021,2840,877,4861,5.54,405.1
71,Auburn,13,2373,2894,981,5267,5.37,405.2
71,Western Kentucky,14,2318,3355,997,5673,5.69,405.2
73,Nevada,13,2488,2782,920,5270,5.73,405.4
74,Georgia State,13,2354,2919,995,5273,5.3,405.6
74,Middle Tennessee,13,1978,3295,966,5273,5.46,405.6
76,Florida International,12,2221,2652,854,4873,5.71,406.1
77,Memphis,13,1904,3383,959,5287,5.51,406.7
78,Cincinnati,13,2497,2815,917,5312,5.79,408.6
79,Virginia,12,1880,3058,793,4938,6.23,411.5
80,Tulane,12,2146,2801,851,4947,5.81,412.3
81,Buffalo,12,2233,2728,876,4961,5.66,413.4
82,Western Michigan,13,2354,3024,852,5378,6.31,413.7
