Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
83,South Alabama,12,2652,2340,830,4992,6.01,416
84,Washington State,13,2519,2899,938,5418,5.78,416.8
85,Colorado,13,2583,2837,948,5420,5.72,416.9
86,Bowling Green,14,2553,3296,1084,5849,5.4,417.8
87,Northern Illinois,14,2446,3411,1130,5857,5.18,418.4
88,Charlotte,12,2287,2741,907,5028,5.54,419
89,Arkansas State,13,1969,3481,947,5450,5.76,419.2
90,Louisiana-Lafayette,12,2205,2845,848,5050,5.96,420.8
91,Maryland,12,1953,3101,906,5054,5.58,421.2
92,Wyoming,12,2702,2363,791,5065,6.4,422.1
93,Louisiana-Monroe,13,2704,2792,979,5496,5.61,422.8
94,UTEP,12,1953,3180,753,5133,6.82,427.8
95,South Carolina,12,2609,2549,856,5158,6.03,429.8
96,North Carolina,14,3463,2640,1110,6103,5.5,435.9
97,New Mexico,13,2505,3181,931,5686,6.11,437.4
98,Old Dominion,12,2447,2807,925,5254,5.68,437.8
99,Syracuse,12,2182,3080,847,5262,6.21,438.5
100,Oklahoma State,13,2430,3278,1004,5708,5.69,439.1
101,UTSA,12,2027,3302,893,5329,5.97,444.1
102,Fresno State,12,2816,2538,894,5354,5.99,446.2
103,Rice,12,2283,3086,753,5369,7.13,447.4
104,Massachusetts,12,2315,3059,947,5374,5.67,447.8
105,Hawai'i,13,3122,2716,1051,5838,5.55,449.1
106,Kansas State,13,2167,3711,942,5878,6.24,452.2
107,Texas,12,2630,2801,965,5431,5.63,452.6
108,Iowa State,12,2239,3202,883,5441,6.16,453.4
109,California,13,2727,3171,967,5898,6.1,453.7
110,UNLV,12,2610,2877,881,5487,6.23,457.3
111,Purdue,12,2579,2921,897,5500,6.13,458.3
112,Rutgers,12,2233,3311,809,5544,6.85,462
113,Arizona State,13,1637,4392,966,6029,6.24,463.8
114,UCF,12,2390,3179,851,5569,6.54,464.1
115,Arizona,13,2595,3487,1024,6082,5.94,467.8
116,Oregon State,12,2706,3072,897,5778,6.44,481.5
117,Oregon,13,2324,3985,1046,6309,6.03,485.3
118,Idaho,12,3279,2573,839,5852,6.97,487.7
119,SMU,12,3134,2892,853,6026,7.06,502.2
120,North Texas,12,2879,3152,904,6031,6.67,502.6
121,Indiana,13,2544,4079,1038,6623,6.38,509.5
122,Ball State,12,2706,3510,920,6216,6.76,518
123,Eastern Michigan,12,3799,2433,888,6232,7.02,519.3
124,Texas State,12,3096,3166,893,6262,7.01,521.8
125,New Mexico State,12,2907,3360,923,6267,6.79,522.3
126,Tulsa,13,3116,3860,1059,6976,6.59,536.6
127,Texas Tech,13,3646,3474,1031,7120,6.91,547.7
128,Kansas,12,3206,3524,967,6730,6.96,560.8
