Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
109,Georgia Tech,10,1892,2701,784,4593,5.86,459.3
110,Akron,6,1489,1270,365,2759,7.56,459.8
111,Washington State,4,619,1228,276,1847,6.69,461.8
112,Syracuse,11,2300,2803,877,5103,5.82,463.9
113,Louisiana-Monroe,10,2493,2153,678,4646,6.85,464.6
114,Illinois,8,1841,1893,572,3734,6.53,466.8
115,Arkansas State,11,1717,3454,821,5171,6.3,470.1
116,Arizona,5,1353,1012,351,2365,6.74,473
117,Bowling Green,5,1551,828,356,2379,6.68,475.8
118,Massachusetts,4,1094,834,279,1928,6.91,482
119,UNLV,6,1530,1363,404,2893,7.16,482.2
120,Utah State,6,1348,1564,444,2912,6.56,485.3
121,Vanderbilt,9,1719,2668,603,4387,7.28,487.4
122,Eastern Michigan,6,1433,1509,460,2942,6.4,490.3
123,UCF,10,1926,2992,794,4918,6.19,491.8
124,LSU,10,1690,3230,678,4920,7.26,492
125,Texas State,12,2694,3245,939,5939,6.32,494.9
126,Mississippi,10,2069,3121,778,5190,6.67,519
127,North Texas,10,2692,2529,752,5221,6.94,522.1
