 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
98,Illinois,8,1569,1223,521,2792,5.36,349
100,Temple,7,982,1456,524,2438,4.65,348.3
101,UTEP,8,1111,1674,539,2785,5.17,348.1
102,Tennessee,10,1415,2047,660,3462,5.25,346.2
103,Wisconsin,7,1152,1267,495,2419,4.89,345.6
104,Mississippi State,11,483,3259,761,3742,4.92,340.2
105,Kansas State,10,1517,1857,601,3374,5.61,337.4
106,Rutgers,9,1263,1755,658,3018,4.59,335.3
107,Rice,5,604,1054,349,1658,4.75,331.6
108,UNLV,6,868,1115,420,1983,4.72,330.5
109,Michigan State,7,640,1672,481,2312,4.81,330.3
110,Vanderbilt,9,991,1979,630,2970,4.71,330
111,Bowling Green,5,920,712,314,1632,5.2,326.4
112,Florida Atlantic,9,1621,1300,595,2921,4.91,324.6
113,Colorado State,4,496,798,272,1294,4.76,323.5
114,California,4,507,771,286,1278,4.47,319.5
115,Kentucky,11,2162,1336,679,3498,5.15,318
116,Army,12,3276,537,792,3813,4.81,317.8
117,Louisiana Tech,10,992,2166,703,3158,4.49,315.8
118,Baylor,9,813,1979,629,2792,4.44,310.2
119,Louisiana-Monroe,10,763,2294,631,3057,4.84,305.7
120,Western Kentucky,12,1512,1972,758,3484,4.6,290.3
121,Akron,6,849,838,360,1687,4.69,281.2
122,Florida International,5,787,617,306,1404,4.59,280.8
123,Utah State,6,840,815,362,1655,4.57,275.8
124,Navy,10,1776,974,607,2750,4.53,275
125,Syracuse,11,1012,1906,656,2918,4.45,265.3
126,Kansas,9,944,1389,637,2333,3.66,259.2
127,Massachusetts,4,269,481,217,750,3.46,187.5
