Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Alabama,13,938,1449,720,2387,3.32,183.6
2,LSU,14,1261,2400,897,3661,4.08,261.5
3,South Carolina,13,1768,1712,835,3480,4.17,267.7
4,Florida State,13,1075,2500,859,3575,4.16,275
5,Georgia,14,1417,2464,870,3881,4.46,277.2
6,Michigan State,14,1407,2477,903,3884,4.3,277.4
7,Illinois,13,1610,2110,842,3720,4.42,286.2
8,Florida,13,1725,2169,848,3894,4.59,299.5
9,UCF,12,1306,2334,732,3640,4.97,303.3
10,Virginia Tech,14,1457,2808,865,4265,4.93,304.6
11,Texas,13,1251,2728,865,3979,4.6,306.1
12,Rutgers,13,1815,2234,831,4049,4.87,311.5
13,Temple,13,1611,2442,829,4053,4.89,311.8
14,BYU,13,1457,2611,832,4068,4.89,312.9
15,Wisconsin,14,2137,2291,850,4428,5.21,316.3
16,Boise State,13,1430,2741,806,4171,5.17,320.8
17,Michigan,13,1712,2476,803,4188,5.22,322.2
18,Vanderbilt,13,1697,2499,871,4196,4.82,322.8
19,Ohio State,13,1840,2366,831,4206,5.06,323.5
20,Penn State,13,1733,2478,908,4211,4.64,323.9
21,Kent State,12,1539,2356,807,3895,4.83,324.6
22,Louisiana-Monroe,12,1200,2714,804,3914,4.87,326.2
23,Louisville,13,1307,2956,857,4263,4.97,327.9
24,Arkansas State,13,1346,2963,923,4309,4.67,331.5
25,California,13,1673,2655,840,4328,5.15,332.9
26,SMU,13,1538,2882,909,4420,4.86,340
27,Tennessee,12,1952,2134,752,4086,5.43,340.5
28,Stanford,13,1149,3292,815,4441,5.45,341.6
29,Southern Mississippi,14,1660,3142,1041,4802,4.61,343
30,Notre Dame,13,1806,2669,887,4475,5.05,344.2
31,Florida International,13,1535,2946,924,4481,4.85,344.7
32,TCU,13,1609,2907,866,4516,5.21,347.4
33,West Virginia,13,1880,2645,920,4525,4.92,348.1
34,Eastern Michigan,12,1686,2518,779,4204,5.4,350.3
35,Mississippi State,13,1995,2563,970,4558,4.7,350.6
35,Pittsburgh,13,1520,3038,913,4558,4.99,350.6
37,Nebraska,13,2060,2499,876,4559,5.2,350.7
38,Virginia,13,1813,2759,868,4572,5.27,351.7
39,South Florida,12,1288,2934,876,4222,4.82,351.8
40,Utah,13,1490,3087,917,4577,4.99,352.1
41,North Carolina State,13,1706,2908,865,4614,5.33,354.9
42,Cincinnati,13,1239,3394,940,4633,4.93,356.4
