Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
106,Indiana,12,2776,2786,910,5562,6.11,463.5
107,Miami (Ohio),12,2893,2719,885,5612,6.34,467.7
108,Wyoming,12,2788,2840,903,5628,6.23,469
109,Duke,13,2625,3474,913,6099,6.68,469.2
110,Tennessee,12,2266,3390,923,5656,6.13,471.3
111,Idaho,12,2364,3302,862,5666,6.57,472.2
112,West Virginia,13,2079,4067,983,6146,6.25,472.8
113,Toledo,13,2370,3781,946,6151,6.5,473.2
114,New Mexico State,12,2657,3057,851,5714,6.71,476.2
115,Eastern Michigan,12,3199,2548,860,5747,6.68,478.9
116,Kansas,12,2352,3430,853,5782,6.78,481.8
117,Tulane,12,2675,3116,908,5791,6.38,482.6
118,Houston,12,2313,3483,1031,5796,5.62,483
119,Texas State,12,2782,3035,898,5817,6.48,484.8
120,Miami (Florida),12,2615,3222,955,5837,6.11,486.4
121,Colorado,12,2712,3150,824,5862,7.11,488.5
122,Arizona,13,2680,3807,1085,6487,5.98,499
123,Baylor,13,2323,4206,1080,6529,6.05,502.2
124,Louisiana Tech,12,2228,4085,965,6313,6.54,526.1
