Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Alabama,14,1326,2320,913,3646,3.99,260.4
2,Wisconsin,14,1378,2291,831,3669,4.42,262.1
3,Michigan,13,1572,1951,779,3523,4.52,271
4,Clemson,14,1608,2266,908,3874,4.27,276.7
5,UTSA,11,1405,1761,636,3166,4.98,287.8
6,Georgia,15,1890,2534,943,4424,4.69,294.9
7,Michigan State,13,1239,2630,794,3869,4.87,297.6
8,Washington,13,1311,2563,876,3874,4.42,298
9,Ohio State,14,1471,2742,948,4213,4.44,300.9
10,Mississippi State,13,1711,2271,761,3982,5.23,306.3
11,San Diego State,13,1770,2323,804,4093,5.09,314.8
12,LSU,13,1669,2439,811,4108,5.07,316
13,Virginia Tech,13,1554,2597,820,4151,5.06,319.3
14,Auburn,14,1918,2553,957,4471,4.67,319.4
15,Fresno State,14,1588,2900,924,4488,4.86,320.6
16,Washington State,13,1981,2222,820,4203,5.13,323.3
17,Penn State,13,1534,2749,898,4283,4.77,329.5
18,Florida State,13,1763,2541,906,4304,4.75,331.1
19,TCU,14,1455,3185,916,4640,5.07,331.4
20,Southern Mississippi,13,1800,2515,855,4315,5.05,331.9
21,Boise State,14,1683,2974,965,4657,4.83,332.6
21,Duke,13,1992,2332,828,4324,5.22,332.6
23,Wyoming,13,2084,2274,933,4358,4.67,335.2
24,Troy,13,1374,3007,916,4381,4.78,337
25,Utah,13,1707,2692,868,4399,5.07,338.4
26,Northern Illinois,13,1560,2841,953,4401,4.62,338.5
27,Indiana,12,1925,2156,829,4081,4.92,340.1
28,Marshall,13,1575,2867,897,4442,4.95,341.7
29,Appalachian State,13,1787,2666,839,4453,5.31,342.5
30,Minnesota,12,2066,2094,754,4160,5.52,346.7
31,Florida,11,1693,2149,670,3842,5.73,349.3
32,Army,13,2248,2298,727,4546,6.25,349.7
33,Georgia Tech,11,1690,2207,706,3897,5.52,354.3
34,Northwestern,13,1400,3244,926,4644,5.02,357.2
35,Middle Tennessee,13,1743,2902,939,4645,4.95,357.3
36,Iowa,13,1880,2767,914,4647,5.08,357.5
37,South Florida,12,1523,2794,892,4317,4.84,359.8
38,Miami (Florida),13,1895,2822,989,4717,4.77,362.8
39,Eastern Michigan,12,2079,2284,817,4363,5.34,363.6
40,Virginia,13,2591,2155,879,4746,5.4,365.1
41,Texas,13,1389,3364,916,4753,5.19,365.6
41,UAB,13,2287,2466,882,4753,5.39,365.6
43,Iowa State,13,1664,3096,882,4760,5.4,366.2
44,South Carolina,13,1834,2938,924,4772,5.16,367.1
