Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
45,Miami (Ohio),12,2001,2410,814,4411,5.42,367.6
46,Notre Dame,13,2008,2791,951,4799,5.05,369.2
46,Oregon,13,1671,3128,946,4799,5.07,369.2
48,Navy,13,2009,2805,780,4814,6.17,370.3
49,Central Michigan,13,2408,2412,959,4820,5.03,370.8
50,Ohio,13,1436,3395,912,4831,5.3,371.6
51,BYU,13,1919,2928,906,4847,5.35,372.8
52,Purdue,13,1728,3153,926,4881,5.27,375.5
53,Western Kentucky,13,2214,2689,888,4903,5.52,377.2
54,Arkansas State,12,1633,2897,857,4530,5.29,377.5
55,Western Michigan,12,1873,2669,806,4542,5.64,378.5
56,Temple,13,2270,2689,919,4959,5.4,381.5
57,Boston College,13,2482,2495,926,4977,5.37,382.8
58,North Carolina State,13,1703,3292,898,4995,5.56,384.2
59,Toledo,14,2490,2900,958,5390,5.63,385
60,Louisiana Tech,13,2296,2716,897,5012,5.59,385.5
61,Georgia State,12,1637,3017,802,4654,5.8,387.8
62,Louisville,13,2124,2921,899,5045,5.61,388.1
63,Florida Atlantic,14,2224,3230,1051,5454,5.19,389.6
64,Idaho,12,2017,2668,835,4685,5.61,390.4
65,Vanderbilt,12,2382,2335,807,4717,5.85,393.1
66,Air Force,12,2674,2053,694,4727,6.81,393.9
67,Oklahoma,14,2191,3338,947,5529,5.84,394.9
68,USC,14,2221,3318,985,5539,5.62,395.6
69,Pittsburgh,12,1709,3050,798,4759,5.96,396.6
70,New Mexico,12,1889,2887,779,4776,6.13,398
71,Buffalo,12,2338,2440,870,4778,5.49,398.2
72,Rutgers,12,2182,2601,836,4783,5.72,398.6
73,Utah State,13,2813,2372,1002,5185,5.17,398.8
74,New Mexico State,13,2164,3047,972,5211,5.36,400.8
75,Massachusetts,12,2375,2484,844,4859,5.76,404.9
76,Stanford,14,2366,3306,949,5672,5.98,405.1
77,Kent State,12,2559,2341,789,4900,6.21,408.3
78,Texas A&M,13,2221,3089,943,5310,5.63,408.5
79,Oklahoma State,13,1829,3492,966,5321,5.51,409.3
80,Georgia Southern,12,2164,2761,746,4925,6.6,410.4
81,Coastal Carolina,12,2034,2895,815,4929,6.05,410.8
82,Tennessee,12,3015,1940,834,4955,5.94,412.9
83,Missouri,13,2075,3308,962,5383,5.6,414.1
84,Florida International,13,2227,3167,896,5394,6.02,414.9
85,South Alabama,12,1822,3191,852,5013,5.88,417.8
86,Illinois,12,2622,2399,887,5021,5.66,418.4
87,Maryland,12,2290,2743,896,5033,5.62,419.4
88,Ball State,12,2256,2803,764,5059,6.62,421.6
89,Houston,12,1775,3291,944,5066,5.37,422.2
90,Rice,12,2311,2799,795,5110,6.43,425.8
91,Kansas State,13,1530,4018,953,5548,5.82,426.8
92,Kentucky,13,2279,3271,893,5550,6.22,426.9
93,Old Dominion,12,2450,2682,885,5132,5.8,427.7
94,UCF,13,2079,3485,969,5564,5.74,428
95,Cincinnati,12,2309,2833,879,5142,5.85,428.5
96,California,12,1969,3190,888,5159,5.81,429.9
97,North Texas,14,2835,3205,1013,6040,5.96,431.4
98,Colorado State,13,2432,3179,892,5611,6.29,431.6
99,North Carolina,12,2556,2677,895,5233,5.85,436.1
99,Tulane,12,2525,2708,783,5233,6.68,436.1
101,Nebraska,12,2577,2657,826,5234,6.34,436.2
102,Arkansas,12,2353,2906,815,5259,6.45,438.3
103,Texas State,12,1700,3567,852,5267,6.18,438.9
104,Akron,14,2876,3324,1030,6200,6.02,442.9
105,Texas Tech,13,2101,3668,998,5769,5.78,443.8
106,Syracuse,12,2360,2968,832,5328,6.4,444
107,West Virginia,13,2654,3138,944,5792,6.14,445.5
108,UTEP,12,2812,2547,859,5359,6.24,446.6
109,Arizona State,13,2272,3574,924,5846,6.33,449.7
110,Colorado,12,2496,2911,884,5407,6.12,450.6
111,Charlotte,12,2470,2985,886,5455,6.16,454.6
112,Baylor,12,2279,3204,849,5483,6.46,456.9
113,Wake Forest,13,2415,3530,1069,5945,5.56,457.3
114,UNLV,12,2872,2632,878,5504,6.27,458.7
115,Hawai'i,12,2522,2983,814,5505,6.76,458.8
116,Mississippi,12,2944,2570,895,5514,6.16,459.5
117,Memphis,13,2394,3667,1054,6061,5.75,466.2
118,Kansas,12,2059,3561,873,5620,6.44,468.3
119,Arizona,13,2406,3719,1015,6125,6.03,471.2
120,Nevada,12,2499,3157,924,5656,6.12,471.3
121,Oregon State,12,2829,2848,859,5677,6.61,473.1
122,SMU,13,2700,3497,940,6197,6.59,476.7
123,UCLA,13,3736,2552,1004,6288,6.26,483.7
124,Louisiana-Lafayette,12,2839,3073,899,5912,6.58,492.7
125,San Jose State,13,3710,2781,1045,6491,6.21,499.3
126,Bowling Green,12,3039,3040,920,6079,6.61,506.6
127,Connecticut,12,2221,4007,920,6228,6.77,519
128,Tulsa,12,3180,3167,868,6347,7.31,528.9
129,Louisiana-Monroe,12,2793,3592,880,6385,7.26,532.1
130,East Carolina,12,2946,3554,842,6500,7.72,541.7
