Date,,Opponent,Result,PassComp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotalOffPlays,TotalOffYds,TotalOffAvg,1DPass,1DRush,1DPen,1DTot,Penalties,PenaltyYds,Fum,Int,TotalTurnovers
41153,N,Michigan,W (41-14),11,21,52.4,199,2,42,232,5.5,2,63,431,6.8,7,12,1,20,7,55,1,0,1
41160,,Western Kentucky,W (35-0),15,20,75,225,4,31,103,3.3,1,51,328,6.4,9,7,1,17,1,10,0,0,0
41167,@,Arkansas,W (52-0),14,20,70,213,1,45,225,5,6,65,438,6.7,11,11,0,22,7,74,0,0,0
41174,,Florida Atlantic,W (40-7),16,26,61.5,247,3,47,256,5.4,1,73,503,6.9,8,16,1,25,3,21,1,0,1
41181,,Mississippi,W (33-14),22,30,73.3,180,2,34,125,3.7,0,64,305,4.8,12,5,0,17,2,8,1,0,1
41195,@,Missouri,W (42-10),16,21,76.2,171,0,47,362,7.7,6,68,533,7.8,6,15,0,21,7,62,2,0,2
41202,@,Tennessee,W (44-13),17,22,77.3,306,4,45,233,5.2,2,67,539,8,12,11,0,23,4,23,1,0,1
41209,,Mississippi State,W (38-7),17,24,70.8,235,3,40,179,4.5,2,64,414,6.5,8,13,1,22,7,63,0,0,0
41216,@,Louisiana State,W (21-17),14,27,51.9,165,1,25,166,6.6,2,52,331,6.4,9,8,1,18,1,15,2,0,2
41223,,Texas A&M,L (24-29),21,34,61.8,309,1,31,122,3.9,2,65,431,6.6,13,4,0,17,6,56,1,2,3
41230,,Western Carolina,W (49-0),8,12,66.7,160,1,40,300,7.5,5,52,460,8.8,7,15,0,22,1,15,1,0,1
41237,,Auburn,W (49-0),15,22,68.2,216,4,47,267,5.7,3,69,483,7,10,12,3,25,2,10,1,0,1
41244,N,Georgia,W (32-28),13,21,61.9,162,1,51,350,6.9,3,72,512,7.1,5,18,3,26,2,15,1,1,2
41281,N,Notre Dame*,W (42-14),20,28,71.4,264,4,45,265,5.9,2,73,529,7.2,14,13,1,28,4,40,0,0,0
