Date,,Opponent,Result,PassComp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotalOffPlays,TotalOffYds,TotalOffAvg,1DPass,1DRush,1DPen,1DTot,Penalties,PenaltyYds,Fum,Int,TotalTurnovers
42252,N,Wisconsin,W (35-17),22,29,75.9,264,1,37,238,6.4,4,66,502,7.6,14,12,1,27,11,120,0,0,0
42259,,Middle Tennessee State,W (37-10),26,43,60.5,312,2,39,220,5.6,3,82,532,6.5,13,13,2,28,5,40,0,2,2
42266,,Mississippi,L (37-43),32,59,54.2,288,3,42,215,5.1,2,101,503,5,14,11,4,29,4,36,2,3,5
42273,,Louisiana-Monroe,W (34-0),18,32,56.3,166,3,35,137,3.9,1,67,303,4.5,8,8,1,17,7,72,0,1,1
42280,@,Georgia,W (38-10),11,16,68.8,190,1,47,189,4,2,63,379,6,6,6,3,15,7,39,2,0,2
42287,,Arkansas,W (27-14),24,33,72.7,262,2,46,134,2.9,1,79,396,5,8,12,2,22,6,56,0,2,2
42294,@,Texas A&M,W (41-23),19,25,76,138,0,45,258,5.7,2,70,396,5.7,6,11,0,17,7,60,1,0,1
42301,,Tennessee,W (19-14),21,27,77.8,247,0,42,117,2.8,2,69,364,5.3,12,10,1,23,7,64,0,1,1
42315,,Louisiana State,W (30-16),18,24,75,184,0,55,250,4.5,3,79,434,5.5,12,14,2,28,9,88,1,0,1
42322,@,Mississippi State,W (31-6),15,25,60,144,1,30,235,7.8,2,55,379,6.9,4,8,1,13,4,40,0,1,1
42329,,Charleston Southern,W (56-6),19,25,76,208,2,35,195,5.6,4,60,403,6.7,10,13,0,23,2,30,0,0,0
42336,@,Auburn,W (29-13),17,26,65.4,179,1,50,286,5.7,1,76,465,6.1,8,13,3,24,7,65,0,0,0
42343,N,Florida,W (29-15),18,26,69.2,204,2,58,233,4,1,84,437,5.2,9,14,2,25,5,35,1,0,1
42369,N,Michigan State*,W (38-0),25,31,80.6,286,2,35,154,4.4,2,66,440,6.7,12,7,2,21,6,69,0,0,0
42380,N,Clemson*,W (45-40),16,25,64,335,2,46,138,3,3,71,473,6.7,11,6,1,18,2,21,0,0,0
