 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
1,LSU,15,2502,6024,1080,8526,7.89,568.4
2,UCF,13,2909,4117,1016,7026,6.92,540.5
3,Oklahoma,14,3363,4164,946,7527,7.96,537.6
4,Ohio State,14,3735,3684,1069,7419,6.94,529.9
5,Clemson,15,3606,4325,1075,7931,7.38,528.7
6,Alabama,13,2191,4449,842,6640,7.89,510.8
7,Washington State,13,885,5683,920,6568,7.14,505.2
8,Louisiana-Lafayette,14,3604,3314,987,6918,7.01,494.1
9,SMU,13,2351,4017,1037,6368,6.14,489.8
10,Memphis,14,2614,4177,992,6791,6.85,485.1
11,Texas Tech,12,1795,3896,935,5691,6.09,474.3
12,North Carolina,13,2446,3716,959,6162,6.43,474
13,Hawai'i,15,2009,5056,1056,7065,6.69,471
14,Texas,13,2295,3761,950,6056,6.37,465.8
15,Wake Forest,13,2284,3748,1055,6032,5.72,464
16,Ball State,12,2633,2923,909,5556,6.11,463
17,Louisiana-Monroe,12,2490,3041,868,5531,6.37,460.9
18,Troy,12,1717,3758,893,5475,6.13,456.3
19,Navy,13,4687,1238,877,5925,6.76,455.8
20,USC,13,1537,4365,905,5902,6.52,454
21,Oklahoma State,13,2985,2916,924,5901,6.39,453.9
22,Tulane,13,3162,2679,948,5841,6.16,449.3
23,Florida Atlantic,14,2324,3956,1053,6280,5.96,448.6
24,Louisville,13,2767,3048,870,5815,6.68,447.3
25,Western Michigan,13,2666,3128,916,5794,6.33,445.7
26,Mississippi,12,3015,2328,891,5343,6,445.3
27,Iowa State,13,1729,4047,896,5776,6.45,444.3
28,BYU,13,2068,3701,933,5769,6.18,443.8
29,Ohio,13,2883,2866,861,5749,6.68,442.2
30,Arizona,12,2088,3193,873,5281,6.05,440.1
31,Georgia State,13,3141,2577,981,5718,5.83,439.8
32,Liberty,13,1956,3756,887,5712,6.44,439.4
33,Arkansas State,13,1654,4057,925,5711,6.17,439.3
34,Colorado State,12,1586,3663,841,5249,6.24,437.4
35,Louisiana Tech,13,2189,3490,933,5679,6.09,436.8
36,Toledo,12,2694,2515,856,5209,6.09,434.1
37,Central Michigan,14,2539,3531,999,6070,6.08,433.6
38,Wisconsin,14,3263,2802,963,6065,6.3,433.2
39,Oregon,14,2448,3615,956,6063,6.34,433.1
39,Appalachian State,14,3240,2824,969,6064,6.26,433.1
41,Indiana,13,1695,3931,940,5626,5.99,432.8
42,Minnesota,13,2323,3293,883,5616,6.36,432
43,Utah State,13,1979,3628,965,5607,5.81,431.3
44,Notre Dame,13,2327,3278,889,5605,6.3,431.2
45,Florida,13,1687,3910,865,5597,6.47,430.5
46,East Carolina,12,1696,3466,900,5162,5.74,430.2
47,Boston College,13,3291,2288,964,5579,5.79,429.2
48,Utah,14,2819,3187,912,6006,6.59,429
48,Boise State,14,2342,3664,993,6006,6.05,429
50,San Jose State,12,1073,4056,806,5129,6.36,427.4
51,Air Force,13,3881,1602,881,5483,6.22,421.8
52,Baylor,14,2330,3571,948,5901,6.22,421.5
53,Tulsa,12,1660,3376,947,5036,5.32,419.7
54,North Texas,12,1623,3400,849,5023,5.92,418.6
55,Nebraska,12,2439,2551,867,4990,5.76,415.8
56,Penn State,13,2478,2877,885,5355,6.05,411.9
57,Charlotte,13,2605,2749,848,5354,6.31,411.8
57,Oregon State,12,1880,3061,830,4941,5.95,411.8
59,Middle Tennessee,12,2063,2837,771,4900,6.36,408.3
59,Florida State,13,1829,3479,909,5308,5.84,408.3
61,Georgia,14,2591,3122,940,5713,6.08,408.1
62,TCU,12,2448,2444,905,4892,5.41,407.7
63,Southern Mississippi,13,1527,3764,872,5291,6.07,407
64,Auburn,13,2588,2697,947,5285,5.58,406.5
65,UCLA,12,1802,3066,916,4868,5.31,405.7
66,Kent State,13,2427,2846,905,5273,5.83,405.6
67,Eastern Michigan,13,1590,3681,883,5271,5.97,405.5
68,Michigan,13,1959,3261,905,5220,5.77,401.5
69,New Mexico,12,2463,2340,832,4803,5.77,400.3
70,Mississippi State,13,2868,2333,844,5201,6.16,400.1
71,Syracuse,12,1848,2887,909,4735,5.21,394.6
72,Texas A&M,13,2068,3060,881,5128,5.82,394.5
73,Marshall,13,2514,2605,887,5119,5.77,393.8
73,Coastal Carolina,12,2346,2379,854,4725,5.53,393.8
75,Purdue,12,999,3719,862,4718,5.47,393.2
76,Kentucky,13,3624,1478,830,5102,6.15,392.5
77,Temple,13,1784,3312,951,5096,5.36,392
78,Houston,12,2258,2440,780,4698,6.02,391.5
79,Washington,13,1922,3164,872,5086,5.83,391.2
80,Cincinnati,14,2912,2552,993,5464,5.5,390.3
