 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
81,Virginia,14,1697,3748,962,5445,5.66,388.9
82,Colorado,12,1804,2858,847,4662,5.5,388.5
82,Buffalo,13,3256,1795,937,5051,5.39,388.5
84,Western Kentucky,13,1670,3371,900,5041,5.6,387.8
85,Fresno State,12,1911,2721,767,4632,6.04,386
86,Virginia Tech,13,2289,2718,883,5007,5.67,385.2
87,Pittsburgh,13,1544,3402,954,4946,5.18,380.5
88,North Carolina State,12,1814,2749,881,4563,5.18,380.3
89,Army,13,3863,1066,869,4929,5.67,379.2
90,Kansas,12,1749,2778,773,4527,5.86,377.3
91,Florida International,13,2148,2754,877,4902,5.59,377.1
92,UNLV,12,2018,2474,831,4492,5.41,374.3
92,Missouri,12,1820,2671,852,4491,5.27,374.3
94,Arizona State,13,1602,3235,842,4837,5.74,372.1
95,Michigan State,13,1653,3182,932,4835,5.19,371.9
95,South Carolina,12,1796,2667,862,4463,5.18,371.9
97,Stanford,12,1266,3149,790,4415,5.59,367.9
98,Miami (Florida),13,1535,3239,844,4774,5.66,367.2
99,Iowa,13,1789,2976,864,4765,5.52,366.5
100,Tennessee,13,1874,2878,821,4752,5.79,365.5
101,Nevada,13,1503,3246,946,4749,5.02,365.3
102,New Mexico State,12,1722,2611,832,4333,5.21,361.1
103,Kansas State,13,2314,2352,841,4666,5.55,358.9
104,Northern Illinois,12,1693,2611,824,4304,5.22,358.7
105,UAB,14,2111,2815,896,4926,5.5,351.9
106,Wyoming,13,2792,1770,831,4562,5.49,350.9
107,UTSA,12,1950,2189,819,4139,5.05,344.9
108,Connecticut,12,1544,2592,810,4136,5.11,344.7
109,Maryland,12,2033,2088,767,4121,5.37,343.4
110,San Diego State,13,1827,2634,933,4461,4.78,343.2
111,Arkansas,12,1766,2315,783,4081,5.21,340.1
112,South Florida,12,1935,2035,773,3970,5.14,330.8
113,South Alabama,12,2057,1906,791,3963,5.01,330.3
114,Duke,12,1804,2152,873,3956,4.53,329.7
115,Illinois,13,1874,2409,857,4283,5,329.5
116,UTEP,12,1658,2292,768,3950,5.14,329.2
117,California,13,1710,2561,841,4271,5.08,328.5
118,Georgia Southern,13,3292,968,821,4260,5.19,327.7
119,West Virginia,12,879,2984,788,3863,4.9,321.9
120,Bowling Green,12,1941,1888,839,3829,4.56,319.1
121,Texas State,12,921,2893,768,3814,4.97,317.8
122,Miami (Ohio),14,1833,2495,870,4328,4.97,309.1
123,Northwestern,12,2161,1404,842,3565,4.23,297.1
124,Vanderbilt,12,1496,2064,744,3560,4.78,296.7
125,Rice,12,1538,1992,753,3530,4.69,294.2
126,Massachusetts,12,1495,2022,822,3517,4.28,293.1
127,Georgia Tech,12,1829,1607,717,3436,4.79,286.3
128,Old Dominion,12,1168,2117,810,3285,4.06,273.8
129,Rutgers,12,1605,1672,735,3277,4.46,273.1
130,Akron,12,571,2347,725,2918,4.02,243.2
