 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
1,Oklahoma,14,3464,4520,928,7984,8.6,570.3
2,Ohio State,14,2398,5100,1131,7498,6.63,535.6
3,Clemson,15,3723,4185,1076,7908,7.35,527.2
4,Memphis,14,3919,3405,1028,7324,7.12,523.1
5,UCF,13,3448,3347,986,6795,6.89,522.7
6,Alabama,15,2976,4854,1009,7830,7.76,522
7,Houston,13,2822,3841,1010,6663,6.6,512.5
8,West Virginia,12,1931,4216,870,6147,7.07,512.3
9,Mississippi,12,1969,4157,860,6126,7.12,510.5
10,Oklahoma State,13,2474,4028,1011,6502,6.43,500.2
11,Utah State,13,2641,3825,945,6466,6.84,497.4
12,Texas Tech,12,1591,4231,972,5822,5.99,485.2
13,Missouri,13,2631,3632,1004,6263,6.24,481.8
14,Florida Atlantic,12,2902,2844,930,5746,6.18,478.8
15,Texas A&M,13,2847,3284,980,6131,6.26,471.6
16,Ohio,13,3358,2710,867,6068,7,466.8
17,Arkansas State,13,2402,3659,980,6061,6.18,466.2
18,Georgia,14,3343,3165,923,6508,7.05,464.9
19,Syracuse,13,2601,3441,1063,6042,5.68,464.8
