 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
106,Coastal Carolina,12,1875,2269,750,4144,5.53,345.3
107,Virginia,13,1216,3233,908,4449,4.9,342.2
108,Texas State,12,1609,2468,854,4077,4.77,339.8
109,South Carolina,13,1588,2794,802,4382,5.46,337.1
110,Florida,11,1720,1975,712,3695,5.19,335.9
111,Ball State,12,1896,2126,902,4022,4.46,335.2
112,South Alabama,12,1167,2845,786,4012,5.1,334.3
113,Oregon State,12,1650,2355,773,4005,5.18,333.8
114,Old Dominion,12,1967,2021,811,3988,4.92,332.3
114,Georgia Southern,12,2668,1320,839,3988,4.75,332.3
116,Rice,12,2244,1738,732,3982,5.44,331.8
117,Iowa,13,1810,2473,836,4283,5.12,329.5
118,Kansas,12,1231,2717,851,3948,4.64,329
119,BYU,13,1697,2530,822,4227,5.14,325.2
120,Maryland,12,1940,1940,754,3880,5.15,323.3
121,San Jose State,13,1561,2574,898,4135,4.6,318.1
122,Akron,14,1475,2949,906,4424,4.88,316
123,Minnesota,12,2189,1513,758,3702,4.88,308.5
124,Charlotte,12,1995,1643,740,3638,4.92,303.2
125,Tennessee,12,1409,2084,732,3493,4.77,291.1
126,Wyoming,13,1414,2304,794,3718,4.68,286
127,Illinois,12,1267,2098,725,3365,4.64,280.4
128,Kent State,12,1830,1472,754,3302,4.38,275.2
129,Rutgers,12,1765,1387,711,3152,4.43,262.7
130,UTEP,12,1147,1619,676,2766,4.09,230.5
