 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
1,Oklahoma,14,3049,5065,979,8114,8.29,579.6
2,Oklahoma State,13,2337,5059,1008,7396,7.34,568.9
3,Louisville,13,3186,3898,959,7084,7.39,544.9
4,Memphis,13,2562,4355,941,6917,7.35,532.1
5,UCF,13,2583,4313,924,6896,7.46,530.5
6,South Florida,12,3169,2987,1001,6156,6.15,513
7,Ohio State,14,3405,3679,1029,7084,6.88,506
8,Missouri,13,2516,4012,916,6528,7.13,502.2
9,Florida Atlantic,14,3994,2983,1026,6977,6.8,498.4
10,Arkansas State,12,1831,4106,975,5937,6.09,494.8
11,Colorado State,13,2603,3799,977,6402,6.55,492.5
12,Arizona,13,4021,2343,908,6364,7.01,489.5
13,USC,14,2591,4186,1034,6777,6.55,484.1
14,Toledo,14,2856,3919,981,6775,6.91,483.9
15,SMU,13,2397,3823,973,6220,6.39,478.5
16,Texas Tech,13,1832,4338,1000,6170,6.17,474.6
17,Wake Forest,13,2456,3599,963,6055,6.29,465.8
18,Mississippi,12,1607,3941,804,5548,6.9,462.3
19,Penn State,13,2212,3772,909,5984,6.58,460.3
20,West Virginia,13,1954,4021,941,5975,6.35,459.6
21,Louisiana-Monroe,12,2044,3452,863,5496,6.37,458
22,UCLA,13,1474,4478,932,5952,6.39,457.8
23,Syracuse,12,1938,3538,1027,5476,5.33,456.3
24,North Texas,14,2285,4086,1037,6371,6.14,455.1
25,North Carolina State,13,2293,3580,981,5873,5.99,451.8
26,Auburn,14,3056,3267,1024,6323,6.17,451.6
27,Notre Dame,13,3501,2326,912,5827,6.39,448.2
28,New Mexico State,13,1388,4422,998,5810,5.82,446.9
29,Alabama,14,3509,2708,944,6217,6.59,444.1
30,Oregon,13,3263,2469,939,5732,6.1,440.9
31,Appalachian State,13,2907,2811,886,5718,6.45,439.8
32,Georgia,15,3876,2653,975,6529,6.7,435.3
33,Washington State,13,884,4769,1016,5653,5.56,434.8
34,Ohio,13,3179,2451,875,5630,6.43,433.1
35,Massachusetts,12,1624,3570,865,5194,6,432.8
36,Buffalo,12,1693,3490,828,5183,6.26,431.9
37,Arizona State,13,2281,3324,981,5605,5.71,431.2
38,Clemson,14,2717,3297,1048,6014,5.74,429.6
39,Navy,13,4568,1005,924,5573,6.03,428.7
40,Houston,12,2002,3136,857,5138,6,428.2
41,UNLV,12,2882,2243,827,5125,6.2,427.1
42,East Carolina,12,1292,3815,939,5107,5.44,425.6
43,Southern Mississippi,13,2399,3121,937,5520,5.89,424.6
44,Tulsa,12,2967,2077,884,5044,5.71,420.3
45,TCU,14,2438,3431,963,5869,6.09,419.2
46,Troy,13,1937,3505,872,5442,6.24,418.6
46,Mississippi State,13,3272,2170,987,5442,5.51,418.6
48,Colorado,12,1886,3125,909,5011,5.51,417.6
49,Air Force,12,3689,1321,908,5010,5.52,417.5
50,Connecticut,12,1752,3230,907,4982,5.49,415.2
51,Wisconsin,14,3121,2689,954,5810,6.09,415
52,Utah,13,2132,3242,953,5374,5.64,413.4
53,Virginia Tech,13,2254,3113,996,5367,5.39,412.8
54,LSU,13,2699,2645,863,5344,6.19,411.1
55,Northwestern,13,2264,3040,998,5304,5.31,408
56,Texas A&M,13,2023,3266,955,5289,5.54,406.8
57,Boise State,14,2009,3677,981,5686,5.8,406.1
58,Washington,13,2382,2889,821,5271,6.42,405.5
59,Baylor,12,1407,3452,876,4859,5.55,404.9
60,Miami (Florida),13,2090,3153,840,5243,6.24,403.3
61,Purdue,13,1970,3270,938,5240,5.59,403.1
62,Louisiana Tech,13,2242,2997,915,5239,5.73,403
63,Hawai'i,12,2018,2814,843,4832,5.73,402.7
64,San Diego State,13,3282,1920,827,5202,6.29,400.2
65,Louisiana-Lafayette,12,2204,2578,828,4782,5.78,398.5
65,Texas,13,1815,3365,1006,5180,5.15,398.5
67,Nevada,12,1526,3245,813,4771,5.87,397.6
68,Utah State,13,2228,2938,920,5166,5.62,397.4
69,Western Kentucky,13,791,4355,968,5146,5.32,395.8
69,Indiana,12,1561,3188,951,4749,4.99,395.8
71,Middle Tennessee,13,1850,3264,900,5114,5.68,393.4
72,Fresno State,14,2170,3331,952,5501,5.78,392.9
73,Florida International,13,2069,3031,890,5100,5.73,392.3
74,Georgia Tech,11,3381,927,751,4308,5.74,391.6
75,Tulane,12,2778,1920,816,4698,5.76,391.5
76,Army,13,4710,361,850,5071,5.97,390.1
77,Central Michigan,13,1743,3324,923,5067,5.49,389.8
78,Western Michigan,12,2697,1978,856,4675,5.46,389.6
79,Stanford,14,2833,2608,843,5441,6.45,388.6
80,Temple,13,1773,3273,914,5046,5.52,388.2
81,Georgia State,12,1408,3248,852,4656,5.46,388
82,UTSA,11,2030,2231,754,4261,5.65,387.4
83,Eastern Michigan,12,1555,3088,857,4643,5.42,386.9
84,Bowling Green,12,1820,2820,847,4640,5.48,386.7
84,Boston College,13,2865,2162,985,5027,5.1,386.7
86,Iowa State,13,1470,3548,904,5018,5.55,386
87,Nebraska,12,1290,3330,827,4620,5.59,385
88,Duke,13,2228,2774,1016,5002,4.92,384.8
89,Miami (Ohio),12,1763,2852,831,4615,5.55,384.6
90,California,12,1507,3107,892,4614,5.17,384.5
91,Michigan State,13,2182,2798,971,4980,5.13,383.1
92,Marshall,13,1823,3115,898,4938,5.5,379.8
93,Northern Illinois,13,2312,2599,963,4911,5.1,377.8
94,Arkansas,12,2016,2465,802,4481,5.59,373.4
95,Kansas State,13,2584,2259,789,4843,6.14,372.5
96,North Carolina,12,1730,2705,834,4435,5.32,369.6
97,Pittsburgh,12,1782,2612,822,4394,5.35,366.2
98,UAB,13,2382,2347,871,4729,5.43,363.8
99,New Mexico,12,2825,1489,784,4314,5.5,359.5
100,Florida State,13,2024,2551,808,4575,5.66,351.9
101,Cincinnati,12,1624,2597,805,4221,5.24,351.8
102,Vanderbilt,12,1286,2923,751,4209,5.6,350.8
103,Kentucky,13,2102,2446,818,4548,5.56,349.8
104,Idaho,12,1495,2699,824,4194,5.09,349.5
105,Michigan,13,2310,2226,875,4536,5.18,348.9
