Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
56,Marshall,13,1924,3011,891,4935,5.54,379.6
58,Rice,12,1660,2903,764,4563,5.97,380.3
59,Charlotte,13,2495,2457,824,4952,6.01,380.9
60,Miami (Ohio),14,2418,2929,1014,5347,5.27,381.9
61,Memphis,14,2627,2742,999,5369,5.37,383.5
62,Coastal Carolina,12,1924,2679,761,4603,6.05,383.6
63,Northern Illinois,12,2135,2503,763,4638,6.08,386.5
64,Nebraska,12,2257,2409,832,4666,5.61,388.8
65,California,13,1642,3434,945,5076,5.37,390.5
66,Florida International,13,2548,2535,898,5083,5.66,391
67,Arizona State,13,1626,3487,928,5113,5.51,393.3
67,South Carolina,12,1896,2823,854,4719,5.53,393.3
69,BYU,13,2178,2938,914,5116,5.6,393.5
70,Tulsa,12,2221,2516,835,4737,5.67,394.8
71,South Florida,12,2503,2274,887,4777,5.39,398.1
72,North Carolina State,12,1721,3066,857,4787,5.59,398.9
73,Mississippi State,13,1981,3208,824,5189,6.3,399.2
74,West Virginia,12,1913,2879,874,4792,5.48,399.3
75,Nevada,13,1940,3261,857,5201,6.07,400.1
76,Ohio,13,2162,3086,882,5248,5.95,403.7
77,Illinois,13,2542,2768,949,5310,5.6,408.5
77,USC,13,2110,3200,931,5310,5.7,408.5
79,South Alabama,12,2306,2599,850,4905,5.77,408.8
80,Liberty,13,2466,2853,926,5319,5.74,409.2
81,North Texas,12,2263,2668,860,4931,5.73,410.9
82,Oklahoma State,13,2060,3300,926,5360,5.79,412.3
83,Akron,12,2562,2405,871,4967,5.7,413.9
84,Wake Forest,13,2128,3286,936,5414,5.78,416.5
85,Mississippi,12,1662,3339,859,5001,5.82,416.8
86,Texas State,12,2614,2391,875,5005,5.72,417.1
87,Western Michigan,13,2361,3095,932,5456,5.85,419.7
88,Fresno State,12,1927,3110,879,5037,5.73,419.8
89,Georgia Tech,12,2583,2492,870,5075,5.83,422.9
90,Florida State,13,1917,3597,1039,5514,5.31,424.2
91,Ball State,12,2155,2941,876,5096,5.82,424.7
92,UTSA,12,2379,2770,789,5149,6.53,429.1
93,Stanford,12,1809,3354,819,5163,6.3,430.3
94,Eastern Michigan,13,2525,3071,922,5596,6.07,430.5
95,UTEP,12,2415,2755,765,5170,6.76,430.8
96,Hawai'i,15,3042,3428,1029,6470,6.29,431.3
97,Texas,13,1806,3803,918,5609,6.11,431.5
98,Rutgers,12,2413,2790,837,5203,6.22,433.6
99,Troy,12,1894,3316,840,5210,6.2,434.2
100,Purdue,12,2310,2925,869,5235,6.02,436.3
101,Vanderbilt,12,2505,2734,798,5239,6.57,436.6
102,Louisville,13,2675,3044,903,5719,6.33,439.9
103,Utah State,13,2625,3102,1016,5727,5.64,440.5
104,Colorado,12,1843,3460,815,5303,6.51,441.9
105,UNLV,12,2234,3074,848,5308,6.26,442.3
106,San Jose State,12,2785,2540,918,5325,5.8,443.8
107,SMU,13,2033,3752,1004,5785,5.76,445
108,Oregon State,12,2034,3314,884,5348,6.05,445.7
109,Maryland,12,2135,3255,906,5390,5.95,449.2
110,Arkansas,12,2658,2750,827,5408,6.54,450.7
111,Washington State,13,2411,3471,886,5882,6.64,452.5
112,Georgia State,13,2829,3093,886,5922,6.68,455.5
113,UCLA,12,1746,3729,816,5475,6.71,456.3
114,Middle Tennessee,12,2328,3184,888,5512,6.21,459.3
115,Syracuse,12,2419,3150,918,5569,6.07,464.1
116,Connecticut,12,2683,2919,800,5602,7,466.8
117,Bowling Green,12,2914,2692,798,5606,7.03,467.2
118,Houston,12,2149,3461,824,5610,6.81,467.5
119,East Carolina,12,2493,3139,864,5632,6.52,469.3
120,Arizona,12,2179,3478,889,5657,6.36,471.4
121,Kent State,13,3181,2974,974,6155,6.32,473.5
122,Kansas,12,2708,2994,927,5702,6.15,475.2
123,Toledo,12,2621,3087,862,5708,6.62,475.7
124,Arkansas State,13,2801,3417,1018,6218,6.11,478.3
125,Boston College,13,2512,3711,983,6223,6.33,478.7
126,New Mexico State,12,3110,2649,875,5759,6.58,479.9
127,Texas Tech,12,2070,3694,874,5764,6.59,480.3
128,Louisiana-Monroe,12,3032,2770,865,5802,6.71,483.5
129,New Mexico,12,1971,3857,868,5828,6.71,485.7
130,Massachusetts,12,3589,3145,867,6734,7.77,561.2
