Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Ohio State,14,1452,2184,881,3636,4.13,259.7
2,Utah,14,1145,2624,813,3769,4.64,269.2
3,Georgia,14,1045,2815,900,3860,4.29,275.7
4,Wisconsin,14,1397,2623,839,4020,4.79,287.1
5,San Diego State,13,980,2761,804,3741,4.65,287.8
6,Clemson,15,1741,2584,969,4325,4.46,288.3
7,Buffalo,13,1224,2571,780,3795,4.87,291.9
8,UAB,14,1655,2571,897,4226,4.71,301.9
9,Florida,13,1336,2627,809,3963,4.9,304.8
10,Minnesota,13,1591,2395,787,3986,5.06,306.6
11,Michigan,13,1582,2412,846,3994,4.72,307.2
12,Iowa,13,1463,2544,835,4007,4.8,308.2
13,Miami (Florida),13,1490,2538,849,4028,4.74,309.8
14,Missouri,12,1593,2151,771,3744,4.86,312
15,Pittsburgh,13,1410,2658,905,4068,4.5,312.9
16,Navy,13,1376,2708,777,4084,5.26,314.2
17,Air Force,13,1307,2848,752,4155,5.53,319.6
18,Notre Dame,13,1972,2191,891,4163,4.67,320.2
19,Michigan State,13,1479,2702,843,4181,4.96,321.6
20,Kentucky,13,2006,2182,796,4188,5.26,322.2
21,Alabama,13,1783,2434,877,4217,4.81,324.4
22,Oregon,14,1525,3082,973,4607,4.73,329.1
23,Tennessee,13,1826,2522,868,4348,5.01,334.5
24,Western Kentucky,13,1762,2599,835,4361,5.22,335.5
25,Northwestern,12,1643,2385,796,4028,5.06,335.7
26,Appalachian State,14,1811,2894,940,4705,5.01,336.1
27,TCU,12,1647,2396,769,4043,5.26,336.9
28,Auburn,13,1601,2780,905,4381,4.84,337
29,Texas A&M,13,1699,2724,842,4423,5.25,340.2
30,Army,13,2124,2326,789,4450,5.64,342.3
31,LSU,15,1812,3341,1008,5153,5.11,343.5
32,UCF,13,1906,2593,985,4499,4.57,346.1
33,Boise State,14,1578,3270,929,4848,5.22,346.3
34,Penn State,13,1235,3269,935,4504,4.82,346.5
35,Washington,13,1643,2889,887,4532,5.11,348.6
36,Indiana,13,1801,2778,853,4579,5.37,352.2
37,Southern Mississippi,13,1506,3077,803,4583,5.71,352.5
38,Oklahoma,14,1877,3113,886,4990,5.63,356.4
39,Baylor,14,2000,3046,1032,5046,4.89,360.4
40,Cincinnati,14,1941,3119,987,5060,5.13,361.4
41,Central Michigan,14,1719,3363,938,5082,5.42,363
42,Virginia Tech,13,1811,2912,898,4723,5.26,363.3
43,Wyoming,13,1392,3337,941,4729,5.03,363.8
44,Kansas State,13,2151,2638,776,4789,6.17,368.4
45,Iowa State,13,1814,2987,896,4801,5.36,369.3
46,Old Dominion,12,1771,2682,787,4453,5.66,371.1
47,Louisiana-Lafayette,14,2437,2768,955,5205,5.45,371.8
48,Virginia,14,1934,3272,906,5206,5.75,371.9
49,North Carolina,13,1866,2985,893,4851,5.43,373.2
50,Florida Atlantic,14,1897,3342,979,5239,5.35,374.2
51,Tulane,13,2032,2869,892,4901,5.49,377
52,Colorado State,12,2350,2179,811,4529,5.58,377.4
53,Louisiana Tech,13,1784,3126,941,4910,5.22,377.7
54,Temple,13,2066,2846,996,4912,4.93,377.8
55,Georgia Southern,13,1772,3157,871,4929,5.66,379.2
56,Duke,12,2167,2388,852,4555,5.35,379.6
