Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Mississippi State,13,1236,2184,829,3420,4.13,263.1
2,Michigan,13,1656,1921,781,3577,4.58,275.2
3,Southern Mississippi,11,1130,1932,672,3062,4.56,278.4
4,Miami (Florida),13,1863,1763,843,3626,4.3,278.9
5,Clemson,15,1444,2844,1023,4288,4.19,285.9
6,Appalachian State,13,1637,2107,845,3744,4.43,288
7,Iowa,13,1424,2393,837,3817,4.56,293.6
8,Army,13,1388,2454,688,3842,5.58,295.5
9,UAB,14,1653,2536,875,4189,4.79,299.2
10,Michigan State,13,1013,2928,869,3941,4.54,303.2
11,Cincinnati,13,1469,2477,840,3946,4.7,303.5
12,Washington,14,1626,2661,918,4287,4.67,306.2
13,Georgia,14,1876,2524,890,4400,4.94,314.3
14,Utah,14,1404,3014,956,4418,4.62,315.6
15,California,13,1847,2276,898,4123,4.59,317.2
16,Alabama,15,1819,2974,981,4793,4.89,319.5
17,Fresno State,14,1851,2652,953,4503,4.73,321.6
18,BYU,13,1691,2522,891,4213,4.73,324.1
19,Wyoming,12,1554,2360,818,3914,4.78,326.2
20,Virginia,13,1918,2379,815,4297,5.27,330.5
21,San Diego State,13,1349,3001,854,4350,5.09,334.6
22,Charlotte,12,1268,2780,700,4048,5.78,337.3
23,Kentucky,13,1971,2422,838,4393,5.24,337.9
24,TCU,13,1802,2595,906,4397,4.85,338.2
25,LSU,13,1802,2601,915,4403,4.81,338.7
25,Marshall,13,1355,3048,913,4403,4.82,338.7
27,Louisiana Tech,13,1946,2491,880,4437,5.04,341.3
28,Florida,13,2113,2350,872,4463,5.12,343.3
29,Wisconsin,13,2016,2458,814,4474,5.5,344.2
30,Notre Dame,13,1813,2703,957,4516,4.72,347.4
31,Troy,13,1673,2850,896,4523,5.05,347.9
32,Texas A&M,13,1238,3291,785,4529,5.77,348.4
33,Iowa State,13,1495,3044,898,4539,5.05,349.2
34,Penn State,13,2197,2359,965,4556,4.72,350.5
35,Eastern Michigan,13,2646,1953,922,4599,4.99,353.8
36,Central Michigan,12,2456,1808,860,4264,4.96,355.3
37,Auburn,13,1767,2853,897,4620,5.15,355.4
37,Buffalo,14,2256,2719,949,4975,5.24,355.4
39,Boise State,13,1598,3029,820,4627,5.64,355.9
40,Northern Illinois,14,1529,3469,1046,4998,4.78,357
41,Georgia Southern,13,1827,2815,851,4642,5.45,357.1
42,Washington State,13,1839,2835,838,4674,5.58,359.5
43,Air Force,12,1403,2928,732,4331,5.92,360.9
44,Miami (Ohio),12,1916,2502,843,4418,5.24,368.2
45,Arkansas State,13,2493,2311,862,4804,5.57,369.5
46,Georgia Tech,13,2053,2752,804,4805,5.98,369.6
47,Temple,13,2407,2436,1036,4843,4.67,372.5
48,North Texas,13,1558,3312,915,4870,5.32,374.6
49,Tennessee,12,1854,2675,799,4529,5.67,377.4
50,Middle Tennessee,14,2305,2985,965,5290,5.48,377.9
51,Utah State,13,1859,3074,986,4933,5,379.5
52,Colorado,12,1747,2816,871,4563,5.24,380.3
53,Texas State,12,2188,2419,869,4607,5.3,383.9
54,Minnesota,13,2254,2761,845,5015,5.93,385.8
55,Oregon,13,1876,3141,956,5017,5.25,385.9
56,Florida International,13,2499,2523,887,5022,5.66,386.3
57,Western Michigan,13,2156,2870,813,5026,6.18,386.6
58,Nevada,13,1846,3192,959,5038,5.25,387.5
59,Pittsburgh,14,2496,2930,929,5426,5.84,387.6
60,USC,12,1977,2679,868,4656,5.36,388
61,Akron,12,2364,2293,898,4657,5.19,388.1
