Date,,Opponent,Result,PassComp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotalOffPlays,TotalOffYds,TotalOffAvg,1DPass,1DRush,1DPen,1DTot,Penalties,PenaltyYds,Fum,Int,TotalTurnovers
44100,@,Missouri,W (38-19),23,32,71.9,303,2,36,111,3.1,3,68,414,6.1,15,7,0,22,7,49,1,0,1
44107,,Texas A&M,W (52-24),20,27,74.1,435,4,28,109,3.9,2,55,544,9.9,14,6,2,22,6,40,0,1,1
44114,@,Mississippi,W (63-48),28,32,87.5,417,2,39,306,7.8,7,71,723,10.2,22,13,2,37,8,76,1,0,1
44121,,Georgia,W (41-24),24,33,72.7,417,4,43,147,3.4,1,76,564,7.4,19,10,4,33,6,43,0,1,1
44128,@,Tennessee,W (48-17),28,36,77.8,417,0,40,170,4.3,5,76,587,7.7,20,9,1,30,7,45,1,0,1
44135,,Mississippi State,W (41-0),24,33,72.7,291,4,40,208,5.2,0,73,499,6.8,11,12,3,26,10,71,1,0,1
44156,,Kentucky,W (63-3),18,26,69.2,283,3,40,226,5.7,5,66,509,7.7,13,13,3,29,4,30,0,1,1
44163,,Auburn,W (42-13),18,26,69.2,302,5,27,143,5.3,1,53,445,8.4,11,8,1,20,4,30,1,0,1
44170,@,Louisiana State,W (55-17),20,29,69,385,4,43,265,6.2,3,72,650,9,14,16,2,32,4,43,1,0,1
44177,@,Arkansas,W (52-3),27,33,81.8,227,0,38,216,5.7,6,71,443,6.2,13,9,2,24,2,23,1,0,1
44184,N,Florida,W (52-46),33,43,76.7,418,5,40,187,4.7,2,83,605,7.3,21,11,1,33,8,72,0,1,1
44197,N,Notre Dame*,W (31-14),25,30,83.3,297,4,24,142,5.9,0,54,439,8.1,15,8,1,24,6,59,0,0,0
44207,N,Ohio State*,W (52-24),36,45,80,464,5,38,157,4.1,2,83,621,7.5,22,10,1,33,6,44,1,0,1
